,100,200,300,500,800,1000,1500,2000,2500,3000
Traditional,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583
US,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583,0.202502583
OS,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736,0.099299736
SMOTE,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291,0.101251291
US CHi2,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166,0.133050166
OS CHi2,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193,0.114338193
SMOTE CHI2,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624,0.112960624
0.4,0.001721961,0.007232235,0.007691425,0.021581908,0.022729882,0.022732491,0.024451842,0.040064287,0.097692573,0.152336127
0.45,0,0,0,0,0,0,0,0,0,0
0.5,0.00218115,0.007347032,0.008495006,0.022155895,0.022844679,0.023648261,0.032258065,0.10044771,0.167948571,0.220984962
0.55,0,0,0,0,0,0,0,0,0,0
0.6,0.002525542,0.007347032,0.021811503,0.023533463,0.023763058,0.024451842,0.068534037,0.162093904,0.230627942,0.253702216
US-0.4,,,,0.077258639,0.086901619,0.112386638,0.138216049,0.140626794,0.141774768,0.155665251
US-0.5,,,,,,,,,,
US-0.6,,,,0.083916887,0.137381315,0.735666418,0.14165997,0.178854322,0.288485823,0.276891287
US-1.0,,,,0.046148548,0.064286534,0.072781541,0.189071289,0.190104466,0.18333142,0.183561015
,,,,,,,,,,
,,,,,,,,,,
,,,,FP Rate,,,,,,
